设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0193,2025-06-12 00:00:00,隔离开关,杭州滨江110kV变电站,0.501,0.652,30.15,0.628,0.821,30.78,,,,,,,,,,,,,,,,,,
EQ-0371,2025-06-24 00:00:00,断路器,重庆两江220kV变电站,0.562,0.726,29.32,0.707,0.938,32.68,,,,,,,8094.667,8495.667,4.95,,,,,,,0.47,0.512,8.86
EQ-0248,2025-06-12 00:00:00,电容器组,通州35kV变电站,0.518,0.654,26.21,0.669,0.855,27.94,,,,,,,,,,0.004,0.005,17.23,,,,,,
EQ-0403,2025-06-12 00:00:00,电容器组,成都高新35kV变电站,0.506,0.623,22.94,0.61,0.746,22.25,,,,,,,,,,0.004,0.005,41.88,,,,,,
EQ-0033,2025-06-12 00:00:00,避雷器,龙华220kV变电站,0.621,0.832,33.91,0.769,1.029,33.71,,,,,,,,,,,,,,,,,,
EQ-0021,2025-06-12 00:00:00,隔离开关,龙华220kV变电站,0.664,0.843,26.98,0.832,1.028,23.57,,,,,,,,,,,,,,,,,,
EQ-0345,2025-06-12 00:00:00,GIS组合电器,长沙星沙110kV变电站,0.624,0.809,29.64,0.777,0.959,23.53,68.5,79.133,15.52,84.767,99.6,17.5,10153.333,7864.333,-22.54,,,,8.367,8.067,-3.59,0.493,0.453,-8.18
EQ-0369,2025-06-12 00:00:00,断路器,重庆两江220kV变电站,0.615,0.802,30.48,0.772,0.985,27.5,,,,,,,8602.333,10293.667,19.66,,,,,,,0.481,0.474,-1.45
EQ-0043,2025-06-12 00:00:00,断路器,松山湖220kV变电站,0.505,0.658,30.12,0.636,0.817,28.51,,,,,,,12156.667,7950.667,-34.6,,,,,,,0.478,0.479,0.14
EQ-0233,2025-06-12 00:00:00,避雷器,亦庄110kV变电站,0.639,0.858,34.33,0.799,1.027,28.48,,,,,,,,,,,,,,,,,,
EQ-0172,2025-06-12 00:00:00,避雷器,苏州工业园220kV变电站,0.591,0.735,24.32,0.719,0.883,22.81,,,,,,,,,,,,,,,,,,
EQ-0370,2025-06-12 00:00:00,断路器,重庆两江220kV变电站,0.482,0.656,35.97,0.638,0.824,29.17,,,,,,,10519.0,8563.667,-18.59,,,,,,,0.491,0.513,4.62
EQ-0176,2025-06-13 00:00:00,避雷器,苏州工业园220kV变电站,0.656,0.825,25.83,0.832,1.019,22.46,,,,,,,,,,,,,,,,,,
EQ-0280,2025-06-08 00:00:00,GIS组合电器,天津滨海220kV变电站,0.507,0.674,32.81,0.62,0.853,37.41,58.067,67.667,16.53,72.833,85.5,17.39,9235.333,7279.667,-21.18,,,,10.2,13.567,33.01,0.482,0.466,-3.25
EQ-0261,2025-06-13 00:00:00,断路器,天津滨海220kV变电站,0.657,0.855,30.06,0.859,1.055,22.82,,,,,,,8903.0,7291.0,-18.11,,,,,,,0.465,0.477,2.65
EQ-0006,2025-06-13 00:00:00,断路器,龙华220kV变电站,0.499,0.682,36.62,0.642,0.854,33.04,,,,,,,7178.333,8532.0,18.86,,,,,,,0.462,0.483,4.47
EQ-0169,2025-06-13 00:00:00,电容器组,苏州工业园220kV变电站,0.561,0.724,29.08,0.722,0.929,28.65,,,,,,,,,,0.005,0.005,2.87,,,,,,
EQ-0431,2025-06-27 00:00:00,断路器,大连开发区35kV变电站,0.671,0.881,31.28,0.843,1.052,24.74,,,,,,,5815.667,8610.333,48.05,,,,,,,0.508,0.5,-1.64
EQ-0238,2025-06-21 00:00:00,电力变压器,通州35kV变电站,0.571,0.734,28.65,0.705,0.888,25.97,59.967,73.333,22.29,77.133,92.4,19.79,8455.667,8015.0,-5.21,0.005,0.006,19.26,17.567,9.633,-45.16,,,
EQ-0142,2025-06-13 00:00:00,电容器组,临港110kV变电站,0.616,0.828,34.35,0.787,1.0,27.03,,,,,,,,,,0.004,0.005,11.74,,,,,,
EQ-0326,2025-06-13 00:00:00,避雷器,江夏35kV变电站,0.516,0.656,27.17,0.659,0.827,25.58,,,,,,,,,,,,,,,,,,
EQ-0330,2025-07-11 00:00:00,断路器,长沙星沙110kV变电站,0.756,0.759,0.35,0.92,0.941,2.34,,,,,,,8449.0,9589.333,13.5,,,,,,,0.494,0.479,-2.97
EQ-0178,2025-06-13 00:00:00,避雷器,苏州工业园220kV变电站,0.47,0.638,35.81,0.609,0.798,30.95,,,,,,,,,,,,,,,,,,
EQ-0402,2025-06-14 00:00:00,隔离开关,成都高新35kV变电站,0.615,0.829,34.95,0.763,0.985,29.12,,,,,,,,,,,,,,,,,,
EQ-0109,2025-06-14 00:00:00,电力变压器,张江110kV变电站,0.639,0.877,37.26,0.762,1.051,37.92,69.033,82.3,19.22,85.033,103.133,21.29,7017.667,7703.667,9.78,0.004,0.003,-24.74,7.567,5.033,-33.48,,,
EQ-0364,2025-07-01 00:00:00,GIS组合电器,武侯110kV变电站,0.516,0.565,9.43,0.628,0.704,12.08,62.6,70.067,11.93,77.633,85.433,10.05,10392.667,9315.0,-10.37,,,,10.4,8.6,-17.31,0.505,0.487,-3.57
EQ-0347,2025-06-14 00:00:00,电力变压器,武侯110kV变电站,0.481,0.63,30.94,0.603,0.831,37.71,62.133,69.033,11.11,77.333,84.267,8.97,10021.333,8934.667,-10.84,0.004,0.004,-3.98,11.8,10.4,-11.86,,,
EQ-0328,2025-06-14 00:00:00,电力变压器,长沙星沙110kV变电站,0.636,0.806,26.77,0.819,0.975,19.11,66.6,78.367,17.67,84.467,97.833,15.82,9308.667,10680.0,14.73,0.005,0.004,-22.43,11.733,6.967,-40.62,,,
EQ-0240,2025-06-14 00:00:00,断路器,通州35kV变电站,0.601,0.758,26.1,0.755,0.945,25.14,,,,,,,8965.333,8189.0,-8.66,,,,,,,0.496,0.492,-0.67
EQ-0134,2025-06-14 00:00:00,断路器,临港110kV变电站,0.539,0.699,29.66,0.715,0.85,18.87,,,,,,,11212.333,8180.0,-27.04,,,,,,,0.494,0.454,-8.03
EQ-0139,2025-06-14 00:00:00,隔离开关,临港110kV变电站,0.587,0.778,32.51,0.748,0.962,28.68,,,,,,,,,,,,,,,,,,
EQ-0358,2025-06-14 00:00:00,电容器组,武侯110kV变电站,0.619,0.783,26.35,0.742,0.955,28.74,,,,,,,,,,0.004,0.005,32.58,,,,,,
EQ-0153,2025-06-30 00:00:00,断路器,苏州工业园220kV变电站,0.503,0.643,27.96,0.634,0.818,28.99,,,,,,,8726.667,8079.333,-7.42,,,,,,,0.466,0.497,6.58
EQ-0286,2025-07-13 00:00:00,断路器,石家庄高新35kV变电站,0.613,0.691,12.71,0.751,0.897,19.41,,,,,,,7773.333,8082.0,3.97,,,,,,,0.503,0.489,-2.78
EQ-0146,2025-06-14 00:00:00,避雷器,临港110kV变电站,0.481,0.629,30.56,0.61,0.781,28.12,,,,,,,,,,,,,,,,,,
EQ-0435,2025-06-14 00:00:00,电容器组,大连开发区35kV变电站,0.531,0.702,32.23,0.673,0.861,28.07,,,,,,,,,,0.005,0.005,12.73,,,,,,
EQ-0376,2025-06-14 00:00:00,断路器,重庆两江220kV变电站,0.474,0.634,33.64,0.592,0.816,37.89,,,,,,,9492.667,7886.0,-16.93,,,,,,,0.47,0.491,4.39
EQ-0012,2025-06-14 00:00:00,断路器,龙华220kV变电站,0.593,0.823,38.78,0.7,1.02,45.58,,,,,,,10964.333,9208.667,-16.01,,,,,,,0.497,0.486,-2.21
EQ-0338,2025-07-11 00:00:00,隔离开关,长沙星沙110kV变电站,0.63,0.676,7.3,0.792,0.809,2.1,,,,,,,,,,,,,,,,,,
EQ-0070,2025-06-14 00:00:00,电力变压器,南沙110kV变电站,0.566,0.753,32.98,0.694,0.958,38.04,66.267,79.033,19.27,82.933,99.233,19.65,7005.667,8350.667,19.2,0.004,0.005,33.16,10.733,12.433,15.84,,,
EQ-0107,2025-06-14 00:00:00,电力变压器,张江110kV变电站,0.477,0.61,27.86,0.586,0.777,32.47,61.733,70.733,14.58,76.367,89.033,16.59,9907.333,9705.667,-2.04,0.004,0.005,6.92,5.467,6.3,15.24,,,
EQ-0234,2025-06-14 00:00:00,避雷器,亦庄110kV变电站,0.476,0.664,39.41,0.601,0.836,39.05,,,,,,,,,,,,,,,,,,
EQ-0088,2025-06-14 00:00:00,电力变压器,前海110kV变电站,0.505,0.671,32.92,0.628,0.797,26.82,63.467,76.733,20.9,76.3,93.533,22.59,11320.0,10326.333,-8.78,0.004,0.005,17.17,8.1,7.667,-5.35,,,
EQ-0419,2025-06-20 00:00:00,隔离开关,沈阳浑南110kV变电站,0.587,0.751,27.81,0.709,0.95,34.0,,,,,,,,,,,,,,,,,,
EQ-0003,2025-06-15 00:00:00,电力变压器,龙华220kV变电站,0.526,0.701,33.35,0.663,0.881,32.9,68.067,81.7,20.03,84.367,101.033,19.76,8349.667,7980.333,-4.42,0.004,0.005,19.8,12.133,9.0,-25.82,,,
EQ-0030,2025-06-15 00:00:00,避雷器,龙华220kV变电站,0.617,0.823,33.38,0.792,1.001,26.33,,,,,,,,,,,,,,,,,,
EQ-0157,2025-06-15 00:00:00,断路器,苏州工业园220kV变电站,0.658,0.825,25.38,0.84,1.031,22.67,,,,,,,8091.667,8910.333,10.12,,,,,,,0.485,0.48,-1.1
EQ-0116,2025-06-15 00:00:00,隔离开关,张江110kV变电站,0.623,0.757,21.5,0.754,0.944,25.08,,,,,,,,,,,,,,,,,,
EQ-0089,2025-06-15 00:00:00,电力变压器,前海110kV变电站,0.688,0.904,31.53,0.877,1.035,18.08,74.7,89.933,20.39,93.867,110.967,18.22,10297.333,9396.0,-8.75,0.005,0.003,-33.83,8.567,7.6,-11.28,,,
EQ-0200,2025-06-15 00:00:00,GIS组合电器,杭州滨江110kV变电站,0.453,0.638,40.8,0.578,0.812,40.29,61.133,75.833,24.05,73.3,91.2,24.42,9204.0,9593.667,4.23,,,,7.233,11.4,57.6,0.478,0.471,-1.39
EQ-0121,2025-06-15 00:00:00,电容器组,张江110kV变电站,0.63,0.877,39.1,0.772,1.02,32.19,,,,,,,,,,0.005,0.005,1.4,,,,,,
EQ-0273,2025-06-15 00:00:00,避雷器,天津滨海220kV变电站,0.662,0.833,25.88,0.825,1.004,21.64,,,,,,,,,,,,,,,,,,
EQ-0183,2025-06-21 00:00:00,电力变压器,杭州滨江110kV变电站,0.532,0.65,22.1,0.657,0.825,25.46,62.233,70.667,13.55,79.133,88.967,12.43,10470.667,8931.0,-14.7,0.005,0.006,21.52,7.5,8.633,15.11,,,
EQ-0401,2025-06-15 00:00:00,隔离开关,成都高新35kV变电站,0.582,0.785,34.94,0.736,0.99,34.52,,,,,,,,,,,,,,,,,,
EQ-0093,2025-06-15 00:00:00,断路器,前海110kV变电站,0.581,0.771,32.64,0.722,0.97,34.31,,,,,,,9809.667,10634.333,8.41,,,,,,,0.478,0.494,3.34
EQ-0158,2025-06-29 00:00:00,断路器,苏州工业园220kV变电站,0.577,0.708,22.73,0.734,0.898,22.39,,,,,,,8881.0,7941.0,-10.58,,,,,,,0.476,0.49,3.01
EQ-0202,2025-06-16 00:00:00,电力变压器,昆山35kV变电站,0.633,0.791,24.82,0.803,0.986,22.86,71.933,76.433,6.26,89.6,97.233,8.52,8578.0,9569.0,11.55,0.004,0.005,18.14,14.7,12.4,-15.65,,,
EQ-0309,2025-06-16 00:00:00,避雷器,武昌110kV变电站,0.604,0.825,36.57,0.751,0.999,32.9,,,,,,,,,,,,,,,,,,
EQ-0245,2025-06-23 00:00:00,隔离开关,通州35kV变电站,0.617,0.819,32.69,0.79,0.978,23.78,,,,,,,,,,,,,,,,,,
EQ-0436,2025-06-16 00:00:00,电容器组,大连开发区35kV变电站,0.573,0.758,32.39,0.706,0.917,29.83,,,,,,,,,,0.004,0.005,3.05,,,,,,
EQ-0174,2025-06-16 00:00:00,避雷器,苏州工业园220kV变电站,0.553,0.725,31.14,0.677,0.928,37.18,,,,,,,,,,,,,,,,,,
EQ-0257,2025-06-16 00:00:00,断路器,天津滨海220kV变电站,0.56,0.734,31.07,0.722,0.925,28.06,,,,,,,8573.667,7661.667,-10.64,,,,,,,0.494,0.492,-0.27
EQ-0131,2025-06-12 00:00:00,电力变压器,临港110kV变电站,0.474,0.659,38.97,0.589,0.84,42.6,60.333,73.233,21.38,75.133,89.867,19.61,10057.0,9937.333,-1.19,0.005,0.004,-25.69,10.9,4.733,-56.57,,,
EQ-0380,2025-06-16 00:00:00,隔离开关,重庆两江220kV变电站,0.556,0.74,33.05,0.74,0.936,26.47,,,,,,,,,,,,,,,,,,
EQ-0177,2025-06-16 00:00:00,避雷器,苏州工业园220kV变电站,0.559,0.734,31.38,0.731,0.904,23.67,,,,,,,,,,,,,,,,,,
EQ-0361,2025-06-16 00:00:00,避雷器,武侯110kV变电站,0.673,0.884,31.41,0.863,1.014,17.57,,,,,,,,,,,,,,,,,,
EQ-0136,2025-06-16 00:00:00,断路器,临港110kV变电站,0.548,0.749,36.67,0.693,0.95,37.14,,,,,,,9630.667,10718.0,11.29,,,,,,,0.519,0.486,-6.23
EQ-0042,2025-06-16 00:00:00,电力变压器,松山湖220kV变电站,0.647,0.762,17.64,0.857,0.912,6.41,68.533,82.1,19.8,87.8,102.933,17.24,9484.667,9199.333,-3.01,0.005,0.005,6.12,8.6,8.7,1.16,,,
EQ-0212,2025-06-16 00:00:00,避雷器,昆山35kV变电站,0.568,0.809,42.42,0.723,0.995,37.63,,,,,,,,,,,,,,,,,,
EQ-0372,2025-06-20 00:00:00,断路器,重庆两江220kV变电站,0.545,0.697,27.94,0.668,0.836,25.15,,,,,,,7358.333,7901.667,7.38,,,,,,,0.502,0.454,-9.57
EQ-0190,2025-06-16 00:00:00,隔离开关,杭州滨江110kV变电站,0.575,0.78,35.69,0.72,1.003,39.37,,,,,,,,,,,,,,,,,,
EQ-0311,2025-06-17 00:00:00,避雷器,武昌110kV变电站,0.678,0.811,19.5,0.85,1.022,20.3,,,,,,,,,,,,,,,,,,
EQ-0015,2025-06-17 00:00:00,断路器,龙华220kV变电站,0.486,0.66,35.86,0.584,0.827,41.7,,,,,,,7091.667,7752.333,9.32,,,,,,,0.495,0.507,2.56
EQ-0226,2025-06-17 00:00:00,隔离开关,亦庄110kV变电站,0.633,0.818,29.34,0.782,1.039,32.87,,,,,,,,,,,,,,,,,,
EQ-0266,2025-06-22 00:00:00,隔离开关,天津滨海220kV变电站,0.495,0.675,36.36,0.634,0.849,33.88,,,,,,,,,,,,,,,,,,
EQ-0199,2025-06-17 00:00:00,避雷器,杭州滨江110kV变电站,0.653,0.863,32.15,0.828,0.976,17.87,,,,,,,,,,,,,,,,,,
EQ-0111,2025-07-03 00:00:00,断路器,张江110kV变电站,0.71,0.703,-1.02,0.904,0.864,-4.44,,,,,,,7888.333,7383.333,-6.4,,,,,,,0.503,0.475,-5.5
EQ-0270,2025-06-17 00:00:00,电容器组,天津滨海220kV变电站,0.587,0.825,40.48,0.756,0.983,30.08,,,,,,,,,,0.004,0.004,-0.68,,,,,,
EQ-0097,2025-06-17 00:00:00,隔离开关,前海110kV变电站,0.598,0.786,31.43,0.785,0.983,25.2,,,,,,,,,,,,,,,,,,
EQ-0179,2025-07-07 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.72,0.753,4.63,0.846,0.906,7.04,75.833,73.133,-3.56,94.1,91.867,-2.37,8528.0,7416.0,-13.04,,,,11.733,14.8,26.14,0.488,0.462,-5.32
EQ-0300,2025-06-17 00:00:00,断路器,武昌110kV变电站,0.664,0.812,22.39,0.801,0.99,23.61,,,,,,,8527.333,9051.0,6.14,,,,,,,0.514,0.499,-2.92
EQ-0255,2025-06-17 00:00:00,电力变压器,天津滨海220kV变电站,0.65,0.821,26.26,0.815,0.989,21.3,61.133,75.2,23.01,77.667,95.3,22.7,8584.333,8650.667,0.77,0.004,0.004,-8.86,11.933,11.933,0.0,,,
EQ-0269,2025-06-17 00:00:00,隔离开关,天津滨海220kV变电站,0.592,0.721,21.72,0.772,0.871,12.84,,,,,,,,,,,,,,,,,,
EQ-0362,2025-07-02 00:00:00,避雷器,武侯110kV变电站,0.72,0.735,2.16,0.902,0.91,0.88,,,,,,,,,,,,,,,,,,
EQ-0223,2025-06-18 00:00:00,断路器,亦庄110kV变电站,0.561,0.738,31.57,0.685,0.931,35.93,,,,,,,10105.667,7762.333,-23.19,,,,,,,0.476,0.478,0.49
EQ-0124,2025-06-18 00:00:00,避雷器,张江110kV变电站,0.702,0.868,23.56,0.855,1.046,22.37,,,,,,,,,,,,,,,,,,
EQ-0125,2025-06-18 00:00:00,避雷器,张江110kV变电站,0.533,0.699,30.99,0.653,0.846,29.46,,,,,,,,,,,,,,,,,,
EQ-0316,2025-06-18 00:00:00,断路器,江夏35kV变电站,0.682,0.871,27.79,0.87,1.025,17.78,,,,,,,8622.667,8153.0,-5.45,,,,,,,0.484,0.498,2.82
EQ-0054,2025-06-18 00:00:00,隔离开关,松山湖220kV变电站,0.559,0.753,34.71,0.718,0.926,28.89,,,,,,,,,,,,,,,,,,
EQ-0242,2025-06-18 00:00:00,断路器,通州35kV变电站,0.708,0.89,25.74,0.889,1.038,16.68,,,,,,,8045.0,8997.667,11.84,,,,,,,0.503,0.515,2.45
EQ-0010,2025-06-22 00:00:00,断路器,龙华220kV变电站,0.552,0.763,38.11,0.673,0.96,42.72,,,,,,,7296.333,7350.333,0.74,,,,,,,0.507,0.498,-1.77
EQ-0382,2025-07-15 00:00:00,隔离开关,重庆两江220kV变电站,0.76,0.732,-3.68,0.915,0.929,1.55,,,,,,,,,,,,,,,,,,
EQ-0274,2025-06-23 00:00:00,避雷器,天津滨海220kV变电站,0.677,0.883,30.38,0.846,1.046,23.76,,,,,,,,,,,,,,,,,,
EQ-0087,2025-06-18 00:00:00,电力变压器,前海110kV变电站,0.601,0.804,33.85,0.764,0.977,27.85,69.7,83.5,19.8,88.333,104.233,18.0,11496.0,7742.667,-32.65,0.005,0.005,0.37,3.133,9.9,215.96,,,
EQ-0101,2025-06-18 00:00:00,避雷器,前海110kV变电站,0.505,0.677,34.04,0.63,0.855,35.69,,,,,,,,,,,,,,,,,,
EQ-0192,2025-06-18 00:00:00,隔离开关,杭州滨江110kV变电站,0.671,0.871,29.8,0.854,1.049,22.78,,,,,,,,,,,,,,,,,,
EQ-0206,2025-06-18 00:00:00,断路器,昆山35kV变电站,0.648,0.822,26.79,0.852,1.04,21.99,,,,,,,6934.333,5976.0,-13.82,,,,,,,0.481,0.459,-4.64
EQ-0423,2025-06-19 00:00:00,避雷器,沈阳浑南110kV变电站,0.541,0.749,38.46,0.689,0.916,32.95,,,,,,,,,,,,,,,,,,
EQ-0019,2025-06-19 00:00:00,隔离开关,龙华220kV变电站,0.696,0.848,21.95,0.873,1.025,17.38,,,,,,,,,,,,,,,,,,
EQ-0414,2025-07-18 00:00:00,断路器,沈阳浑南110kV变电站,0.675,0.664,-1.6,0.856,0.819,-4.41,,,,,,,8328.0,8017.667,-3.73,,,,,,,0.474,0.463,-2.39
EQ-0127,2025-06-12 00:00:00,GIS组合电器,张江110kV变电站,0.572,0.798,39.6,0.694,1.017,46.56,60.8,77.667,27.74,77.233,97.933,26.8,8273.333,8361.0,1.06,,,,9.667,9.867,2.07,0.466,0.487,4.58
EQ-0104,2025-06-19 00:00:00,避雷器,前海110kV变电站,0.507,0.688,35.66,0.63,0.833,32.32,,,,,,,,,,,,,,,,,,
EQ-0396,2025-06-19 00:00:00,电力变压器,成都高新35kV变电站,0.558,0.727,30.35,0.693,0.906,30.76,66.033,76.633,16.05,83.867,96.367,14.9,8396.333,9319.667,11.0,0.005,0.004,-32.86,8.7,9.767,12.26,,,
EQ-0383,2025-06-25 00:00:00,电容器组,重庆两江220kV变电站,0.498,0.685,37.46,0.656,0.855,30.49,,,,,,,,,,0.005,0.004,-25.05,,,,,,
EQ-0268,2025-06-19 00:00:00,隔离开关,天津滨海220kV变电站,0.624,0.856,37.11,0.791,1.066,34.78,,,,,,,,,,,,,,,,,,
EQ-0216,2025-06-19 00:00:00,电力变压器,亦庄110kV变电站,0.689,0.871,26.41,0.899,1.014,12.79,62.667,76.333,21.81,79.933,98.4,23.1,8808.0,9807.667,11.35,0.004,0.005,2.25,8.467,8.7,2.76,,,
EQ-0218,2025-06-19 00:00:00,断路器,亦庄110kV变电站,0.629,0.827,31.35,0.792,1.018,28.58,,,,,,,10355.667,9275.0,-10.44,,,,,,,0.524,0.479,-8.71
EQ-0055,2025-06-19 00:00:00,隔离开关,松山湖220kV变电站,0.561,0.715,27.41,0.699,0.933,33.62,,,,,,,,,,,,,,,,,,
EQ-0092,2025-06-19 00:00:00,断路器,前海110kV变电站,0.531,0.764,43.87,0.642,0.957,48.99,,,,,,,9799.0,10187.0,3.96,,,,,,,0.456,0.507,11.03
EQ-0120,2025-07-11 00:00:00,隔离开关,张江110kV变电站,0.631,0.614,-2.68,0.8,0.728,-8.96,,,,,,,,,,,,,,,,,,
EQ-0160,2025-06-16 00:00:00,断路器,苏州工业园220kV变电站,0.469,0.717,52.81,0.58,0.896,54.5,,,,,,,7427.667,7695.667,3.61,,,,,,,0.468,0.482,3.06
EQ-0148,2025-06-19 00:00:00,电力变压器,苏州工业园220kV变电站,0.587,0.812,38.52,0.743,0.978,31.53,66.867,78.633,17.6,81.967,99.867,21.84,7639.333,8581.333,12.33,0.005,0.005,6.56,9.667,14.1,45.86,,,
EQ-0251,2025-06-19 00:00:00,避雷器,通州35kV变电站,0.586,0.768,30.98,0.743,0.928,24.91,,,,,,,,,,,,,,,,,,
EQ-0360,2025-07-19 00:00:00,避雷器,武侯110kV变电站,0.782,0.739,-5.49,0.939,0.911,-3.0,,,,,,,,,,,,,,,,,,
EQ-0117,2025-06-20 00:00:00,隔离开关,张江110kV变电站,0.636,0.853,34.18,0.787,1.071,36.14,,,,,,,,,,,,,,,,,,
EQ-0336,2025-06-20 00:00:00,隔离开关,长沙星沙110kV变电站,0.699,0.904,29.33,0.887,1.05,18.35,,,,,,,,,,,,,,,,,,
EQ-0377,2025-07-14 00:00:00,隔离开关,重庆两江220kV变电站,0.677,0.685,1.13,0.881,0.844,-4.19,,,,,,,,,,,,,,,,,,
EQ-0351,2025-06-20 00:00:00,断路器,武侯110kV变电站,0.52,0.711,36.68,0.627,0.879,40.19,,,,,,,7959.333,7378.667,-7.3,,,,,,,0.498,0.497,-0.27
EQ-0063,2025-06-20 00:00:00,避雷器,松山湖220kV变电站,0.539,0.734,36.23,0.696,0.889,27.72,,,,,,,,,,,,,,,,,,
EQ-0367,2025-06-20 00:00:00,电力变压器,重庆两江220kV变电站,0.554,0.748,35.02,0.688,0.923,34.05,65.533,77.033,17.55,79.367,96.533,21.63,9206.667,10561.333,14.71,0.005,0.005,-0.88,4.233,11.033,160.63,,,
EQ-0045,2025-06-20 00:00:00,断路器,松山湖220kV变电站,0.584,0.743,27.15,0.736,0.963,30.99,,,,,,,9020.667,8712.0,-3.42,,,,,,,0.473,0.522,10.44
EQ-0230,2025-06-20 00:00:00,电容器组,亦庄110kV变电站,0.673,0.877,30.37,0.848,1.062,25.26,,,,,,,,,,0.004,0.005,26.42,,,,,,
EQ-0002,2025-06-20 00:00:00,电力变压器,龙华220kV变电站,0.513,0.707,37.83,0.603,0.866,43.61,64.967,77.933,19.96,80.133,97.3,21.42,9104.0,8824.0,-3.08,0.004,0.004,-2.64,7.1,9.933,39.91,,,
EQ-0061,2025-06-20 00:00:00,避雷器,松山湖220kV变电站,0.545,0.707,29.74,0.691,0.903,30.59,,,,,,,,,,,,,,,,,,
EQ-0198,2025-06-28 00:00:00,避雷器,杭州滨江110kV变电站,0.599,0.88,46.83,0.75,1.018,35.66,,,,,,,,,,,,,,,,,,
EQ-0346,2025-06-20 00:00:00,电力变压器,武侯110kV变电站,0.549,0.731,33.23,0.657,0.919,39.78,61.8,75.2,21.68,78.767,93.133,18.24,10106.667,8096.333,-19.89,0.005,0.004,-8.85,7.1,11.067,55.87,,,
EQ-0379,2025-07-07 00:00:00,隔离开关,重庆两江220kV变电站,0.66,0.626,-5.17,0.824,0.757,-8.23,,,,,,,,,,,,,,,,,,
EQ-0391,2025-07-15 00:00:00,避雷器,重庆两江220kV变电站,0.618,0.593,-3.99,0.73,0.72,-1.37,,,,,,,,,,,,,,,,,,
EQ-0252,2025-06-21 00:00:00,电力变压器,天津滨海220kV变电站,0.5,0.669,33.72,0.654,0.817,25.07,58.633,73.133,24.73,73.533,89.7,21.99,7860.0,9891.667,25.85,0.003,0.004,23.43,12.3,10.2,-17.07,,,
EQ-0083,2025-06-21 00:00:00,避雷器,南沙110kV变电站,0.659,0.903,37.11,0.855,1.026,19.95,,,,,,,,,,,,,,,,,,
EQ-0285,2025-06-21 00:00:00,断路器,石家庄高新35kV变电站,0.637,0.859,34.89,0.794,1.043,31.36,,,,,,,6686.667,8771.667,31.18,,,,,,,0.509,0.508,-0.13
EQ-0308,2025-06-21 00:00:00,电容器组,武昌110kV变电站,0.595,0.804,35.04,0.749,1.023,36.6,,,,,,,,,,0.005,0.005,6.22,,,,,,
EQ-0271,2025-06-21 00:00:00,电容器组,天津滨海220kV变电站,0.533,0.737,38.29,0.669,0.93,38.97,,,,,,,,,,0.004,0.004,-2.63,,,,,,
EQ-0239,2025-06-21 00:00:00,电力变压器,通州35kV变电站,0.503,0.713,41.83,0.624,0.901,44.27,59.733,69.733,16.74,75.767,89.433,18.04,8593.0,8828.667,2.74,0.004,0.005,26.88,10.033,10.733,6.98,,,
EQ-0194,2025-06-29 00:00:00,电容器组,杭州滨江110kV变电站,0.489,0.629,28.64,0.603,0.809,34.11,,,,,,,,,,0.005,0.004,-30.38,,,,,,
EQ-0184,2025-06-21 00:00:00,电力变压器,杭州滨江110kV变电站,0.682,0.885,29.67,0.811,1.046,29.01,67.2,81.767,21.68,84.333,101.867,20.79,8803.0,10443.333,18.63,0.004,0.003,-15.14,8.0,9.6,20.0,,,
EQ-0167,2025-06-28 00:00:00,隔离开关,苏州工业园220kV变电站,0.676,0.844,24.81,0.844,1.039,23.14,,,,,,,,,,,,,,,,,,
EQ-0105,2025-06-21 00:00:00,GIS组合电器,前海110kV变电站,0.636,0.744,17.07,0.811,0.951,17.29,72.2,79.1,9.56,89.133,97.4,9.27,9588.0,8608.667,-10.21,,,,5.167,8.8,70.32,0.499,0.481,-3.61
EQ-0294,2025-06-21 00:00:00,避雷器,石家庄高新35kV变电站,0.665,0.921,38.63,0.846,1.061,25.47,,,,,,,,,,,,,,,,,,
EQ-0388,2025-06-22 00:00:00,避雷器,重庆两江220kV变电站,0.642,0.813,26.7,0.795,1.01,27.01,,,,,,,,,,,,,,,,,,
EQ-0068,2025-06-22 00:00:00,电力变压器,南沙110kV变电站,0.494,0.637,28.9,0.586,0.788,34.49,65.5,75.367,15.06,81.8,93.167,13.9,10427.667,10149.333,-2.67,0.004,0.004,12.66,10.533,12.633,19.94,,,
EQ-0322,2025-06-22 00:00:00,电容器组,江夏35kV变电站,0.516,0.692,34.26,0.648,0.866,33.7,,,,,,,,,,0.004,0.005,42.16,,,,,,
